HIP,RA_J2000,DE_J2000,Plx,pmRA,pmDE,Vmag,B-V
15433,3.3147118,7.289964,2.2,6.78,-10.17,9.45,0.388
15443,3.318093733,3.608561,8.47,18.43,-5.54,11.26,0.637
15453,3.321674267,11.455934,16.45,207.65,55.3,11.22,NA
15471,3.324636667,12.61544,4.33,8.73,-16.05,8.74,1.495
15489,3.327206533,12.00404,6.84,-41.19,-46.3,9.78,0.688
15503,3.329510667,5.202627,2.85,14.3,2.88,10.1,0.361
15506,3.329933933,19.07625,4.2,8.88,-9.3,7.43,-0.047
15508,3.331112,13.377072,4.07,1.78,-10.06,7.12,0.783
15509,3.331174,20.277166,4.5,28.96,-10.28,8.35,0.27
15513,3.332130467,21.516447,3.48,16.69,-19.27,8.76,0.655
15515,3.332227333,8.699773,4.54,-7.94,-4.98,7.44,0.04
15519,3.333122467,17.500966,7.24,33.77,45.41,7.77,0.335
15525,3.334030067,15.657912,4.74,-13.79,1.56,8.89,0.477
15532,3.3352076,12.718566,4.48,27.74,-32.64,10.51,0.914
15536,3.335632067,14.834281,6.95,-17.4,-19.96,9.77,0.624
15542,3.3376028,6.221521,2.69,6.8,-1.86,9.45,0.225
15546,3.338709067,16.423702,5.98,4.94,-7.15,9.25,1.171
15550,3.339065667,19.730357,7.14,16.03,-14.2,7.6,0.188
15552,3.339236067,23.689288,7.76,30.52,-56.38,7.46,0.279
15555,3.339812933,19.872715,5.42,2.82,0.32,6.9,1.223
15558,3.340546533,14.174646,3.42,16.76,-17.96,9.07,0.529
15563,3.3414434,8.454444,34.18,228.24,2.51,9.65,1.13
15564,3.342381133,16.332988,1.5,3.03,-8.14,9.22,0.449
15565,3.342696333,12.346597,15.14,136.66,12.12,7.34,0.468
15566,3.342818733,19.180395,3.7,10.17,-11.02,8.28,0.184
15572,3.343611867,9.033552,19.71,287.04,-62.85,8.46,0.69
15586,3.3460314,23.183969,7.38,-3.41,-13.07,8.48,0.392
15588,3.3462458,18.737311,3.32,14.89,-39.8,8.63,1.069
15593,3.347082733,6.433231,4.55,61.86,-13.95,9.61,0.559
15597,3.347628667,20.50943,7.4,5.89,-23.2,6.78,1.168
15608,3.349709333,20.647039,3.22,-1.43,-10.8,8.7,1.612
15611,3.3502318,8.451046,5.87,-14.74,-15.72,8.14,0.102
15612,3.3503636,19.476262,6.44,63.85,-56.74,7.96,0.594
15619,3.3518898,3.67562,11.23,56.05,-25.17,5.7,0.964
15625,3.3534678,13.784013,3.79,36.64,2.53,10.12,0.511
15627,3.3537846,21.147086,7.06,21.68,-22.41,5.27,-0.067
15628,3.3538992,3.856869,7.59,58.87,-14.04,8.9,0.389
15630,3.3548266,9.659873,4.58,-9.34,5.63,7.71,0.334
15633,3.3550204,10.62979,11.88,-41.4,-19.6,8.42,0.593
15640,3.356043467,23.007761,6.19,-57.02,-28.88,9.81,0.58
15650,3.3578608,7.624536,0.59,-0.8,-6.62,10.49,1.287
15651,3.358265667,21.438654,3.6,18.03,-9.4,9.19,0.349
15661,3.3616292,10.829897,13.94,22.55,-19.64,9.67,0.798
15662,3.362054067,13.431794,7.1,71.53,-155.77,11.1,NA
15668,3.3642434,11.309447,9.15,65.11,-76.38,10.39,0.887
15670,3.364822267,5.699313,6.33,19.56,2.46,9.63,0.631
15683,3.367310333,17.23997,15.33,168.25,-175.03,10.9,0.99
15687,3.368076933,4.210598,7.18,25.03,9.86,7.47,1.154
15711,3.373135,3.447254,2.06,3.97,-2.24,10.28,0.649
15724,3.375715267,17.725354,23.55,40.02,-29.15,8.83,0.882
15737,3.379233733,20.742069,10.23,-49.22,-14.88,5.1,1.231
15738,3.379712933,6.799541,4.71,5.79,-21.18,10.76,0.768
15766,3.386472067,21.568018,6.83,-6.8,2.13,9.28,0.524
15777,3.3885914,16.565733,4.56,-0.55,-32.7,7.86,1.12
15805,3.3936656,15.667888,5.32,-5.04,34.43,9.72,0.466
15807,3.394163867,4.882105,2.92,-6.83,-2.56,6.37,0.851
15808,3.394320333,18.555759,4.25,-2.65,-8.56,8.94,0.972
15810,3.3943782,8.838911,5.72,-8.92,-12.28,10.67,0.584
15822,3.397848533,13.837254,3.09,17.22,-6.45,8.69,1.198
15823,3.397925067,16.721356,7.28,22.75,-8.48,8.49,0.41
15837,3.3998912,10.461674,4.87,-0.56,-7.68,10.41,0.834
15838,3.400251867,19.907062,4.5,11.42,8.1,6.83,1.63
15841,3.400992533,13.054988,0.89,19.41,-22.28,10.99,0.645
15844,3.401799933,23.785027,50.54,217.18,-129.17,10.38,1.51
15850,3.4028138,12.62959,7.06,25.97,-21.32,6.03,1.227
15854,3.403976667,17.549586,5.12,14.28,-53.04,8.1,NA
15857,3.4042802,11.860996,3,1.26,-25.96,8.84,2.239
15870,3.4072546,20.803489,10.76,2.55,-9.84,6.07,-0.028
15872,3.4074996,3.864542,3.05,-15.03,-41.08,9.48,0.377
15875,3.407948267,6.985016,24.7,-25.72,-30.67,10.28,1.28
15882,3.409578467,22.040317,7.74,23.14,-18.17,6.91,0.11
15894,3.412399267,14.973836,7.25,-0.23,-3.88,8.18,0.22
15897,3.412850467,9.807862,3.65,35.33,-28.07,7.78,1.147
15900,3.4135538,9.02887,15.42,-74.25,-80.31,3.61,0.887
15904,3.413989333,12.256581,12.65,566.89,-493.05,10.76,0.571
15906,3.4142854,14.014879,3.47,45.62,1.54,9.68,0.461
15908,3.414354,22.278198,4.42,7.66,-16.19,8.92,1.282
15918,3.416485533,10.010043,5.37,87.46,-10.7,7.96,1.034
15922,3.417943467,10.976461,8.77,13.24,-16.82,7.29,0.152
15923,3.4185744,7.393446,8.82,37.43,-31,9.44,0.554
15928,3.419609933,12.485374,9.42,33.82,-31.01,7.42,0.277
15936,3.4202914,9.691205,3.25,-5.36,-6.29,8.75,1.177
15938,3.4203868,4.873626,3.34,-0.76,1.06,10.79,0.5
15939,3.4205608,21.214069,2.62,-12.58,-15.49,7.95,1.844
15951,3.423161467,15.826375,4.26,49.26,-34.16,7.91,1.252
15954,3.4233962,17.743809,6.77,57.93,-83.22,8.69,0.667
15960,3.424157933,8.427144,10.12,27.9,-26.36,9.5,0.537
15961,3.425264667,17.142616,12.47,197.63,-65.59,9.43,0.7
15975,3.428292467,13.621355,2.13,7.34,5.89,8.65,1.424
15978,3.428963133,5.935435,6.68,63.95,-20.06,7.65,0.082
15993,3.433710533,8.269976,8.2,-0.22,-11.47,9.44,0.55
15996,3.434253133,20.245565,3.47,-8.03,-9.52,8.54,0.4
16003,3.434685,5.535573,4.06,28.29,-14.68,8.78,1.294
16007,3.435782533,14.290266,0.66,-9.01,-15.5,10.1,0.786
